"","Session","time","Time.minsec","Description","Focus","Large.Head.Movement","Activity","Social.Plane"
"498","20150313_Wendy_Battleship2",2490000,"41m30s","","","","",""
"5051","20150313_Wendy_Battleship2",2525000,"42m5s","","","","",""
"506","20150313_Wendy_Battleship2",2530000,"42m10s","","","","",""
"509","20150313_Wendy_Battleship2",2545000,"42m25s","","","","",""
"510","20150313_Wendy_Battleship2",2550000,"42m30s","","","","",""
"511","20150313_Wendy_Battleship2",2555000,"42m35s","","","","",""
"5121","20150313_Wendy_Battleship2",2560000,"42m40s","","","","",""
"5131","20150313_Wendy_Battleship2",2565000,"42m45s","","","","",""
"5141","20150313_Wendy_Battleship2",2570000,"42m50s","","","","",""
"515","20150313_Wendy_Battleship2",2575000,"42m55s","","","","",""
"516","20150313_Wendy_Battleship2",2580000,"43m0s","","","","",""
"517","20150313_Wendy_Battleship2",2585000,"43m5s","","","","",""
"518","20150313_Wendy_Battleship2",2590000,"43m10s","","","","",""
"519","20150313_Wendy_Battleship2",2595000,"43m15s","","","","",""
"520","20150313_Wendy_Battleship2",2600000,"43m20s","","","","",""
"5231","20150313_Wendy_Battleship2",2615000,"43m35s","","","","",""
"524","20150313_Wendy_Battleship2",2620000,"43m40s","","","","",""
"525","20150313_Wendy_Battleship2",2625000,"43m45s","","","","",""
"526","20150313_Wendy_Battleship2",2630000,"43m50s","","","","",""
"5271","20150313_Wendy_Battleship2",2635000,"43m55s","","","","",""
"528","20150313_Wendy_Battleship2",2640000,"44m0s","","","","",""
"531","20150313_Wendy_Battleship2",2655000,"44m15s","","","","",""
"5731","20150313_Wendy_Battleship2",2865000,"47m45s","","","","",""
"579","20150313_Wendy_Battleship2",2895000,"48m15s","","","","",""
"5811","20150313_Wendy_Battleship2",2905000,"48m25s","","","","",""
"5821","20150313_Wendy_Battleship2",2910000,"48m30s","","","","",""
"586","20150313_Wendy_Battleship2",2930000,"48m50s","","","","",""
"587","20150313_Wendy_Battleship2",2935000,"48m55s","","","","",""
"605","20150313_Wendy_Battleship2",3025000,"50m25s","","","","",""
"606","20150313_Wendy_Battleship2",3030000,"50m30s","","","","",""
"607","20150313_Wendy_Battleship2",3035000,"50m35s","","","","",""
"610","20150313_Wendy_Battleship2",3050000,"50m50s","","","","",""
"617","20150313_Wendy_Battleship2",3085000,"51m25s","","","","",""
"620","20150313_Wendy_Battleship2",3100000,"51m40s","","","","",""
"621","20150313_Wendy_Battleship2",3105000,"51m45s","","","","",""
"622","20150313_Wendy_Battleship2",3110000,"51m50s","","","","",""
"623","20150313_Wendy_Battleship2",3115000,"51m55s","","","","",""
"624","20150313_Wendy_Battleship2",3120000,"52m0s","","","","",""
"6261","20150313_Wendy_Battleship2",3130000,"52m10s","","","","",""
"6271","20150313_Wendy_Battleship2",3135000,"52m15s","","","","",""
"6281","20150313_Wendy_Battleship2",3140000,"52m20s","","","","",""
"6291","20150313_Wendy_Battleship2",3145000,"52m25s","","","","",""
"630","20150313_Wendy_Battleship2",3150000,"52m30s","","","","",""
"636","20150313_Wendy_Battleship2",3180000,"53m0s","","","","",""
"637","20150313_Wendy_Battleship2",3185000,"53m5s","","","","",""
"641","20150313_Wendy_Battleship2",3205000,"53m25s","","","","",""
"6441","20150313_Wendy_Battleship2",3220000,"53m40s","","","","",""
"6511","20150313_Wendy_Battleship2",3255000,"54m15s","","","","",""
"652","20150313_Wendy_Battleship2",3260000,"54m20s","","","","",""
"653","20150313_Wendy_Battleship2",3265000,"54m25s","","","","",""
"654","20150313_Wendy_Battleship2",3270000,"54m30s","","","","",""
"655","20150313_Wendy_Battleship2",3275000,"54m35s","","","","",""
"6561","20150313_Wendy_Battleship2",3280000,"54m40s","","","","",""
